6144,412
-1280,-1811
880,-3811
8784,-5559
6480,-7000
10432,-7776
10720,-8019
9744,-7660
10544,-6681
7008,-5304
6912,-3614
-2912,-1815
-1088,51
-3536,1962
-10064,3674
-5472,5441
-10880,7006
-3408,8370
-10816,9248
-6064,9631
-6192,9326
-8624,8178
-11056,6391
-2224,4108
-3312,1395
4048,-1194
5616,-3627
11152,-5712
8848,-7305
5680,-8394
9424,-9043
4736,-9247
7344,-8961
6160,-8202
4816,-6914
1968,-5154
4608,-2907
-7168,-553
-1616,2057
-1888,4426
-3920,6355
-5520,7778
-7920,8455
-5952,8568
-5920,7977
-7760,6983
-6848,5632
-4912,4077
-6864,2414
-768,864
2432,-728
4976,-2190
10336,-3560
5760,-4829
9840,-5917
10800,-6778
11136,-7283
4160,-7511
7008,-7139
5600,-6275
-288,-4879
-1408,-2946
2512,-539
-3440,1903
-3536,4440
-6016,6590
-9488,8191
-9888,9133
-6720,9377
-10896,8911
-4352,7910
-3744,6412
-6640,4592
-2912,2633
-3888,552
-5184,-1457
7184,-3264
3904,-4967
7984,-6320
8560,-7416
8240,-8069
4752,-8361
4304,-8207
5088,-7644
928,-6610
-448,-5197
5856,-3411
-848,-1444
-7008,637
-4944,2625
-10016,4363
-11840,5723
-8896,6617
-5056,6996
-7376,6794
-4768,6033
-9440,4819
-5456,3242
-2896,1383
